Check,Year,Formula,Expected,Actual,Difference,Status,Notes
total_depreciation_and_amortization_check,2029,total_ppe_depreciation+ip_amortization,1099447447.1428573,1099447447.1428573,0.0,OK,
gpu_rental_opex_check,2029,rented_gpu*rental_price_per_gpu_per_year,0.0,0.0,0.0,OK,
electricity_cost_check,2029,electricity_kwh*electricity_price_t,89198344.12500001,89198344.12500001,0.0,OK,
total_datacenter_opex_check,2029,electricity+maintenance+network+land+other,370675739.1750001,370675739.1750001,0.0,OK,
team_opex_check,2029,annual_core_team_cash_cost-capitalized_core_team_cost,1047633979.3920006,1047633979.3920006,0.0,OK,
total_sga_check,2029,annual_fixed_sga+annual_office_rent,151255097.28,151255097.28,0.0,OK,
pricing_base_check,2029,total_cogs+total_depreciation_and_amortization,2517757165.709858,2517757165.709858,0.0,OK,
workplace_token_share_check,2029,workplace_annual_tokens/total_annual_tokens,0.8554513102235674,0.8554513102235674,0.0,OK,
contact_center_token_share_check,2029,contact_center_annual_tokens/total_annual_tokens,0.14454868977643265,0.14454868977643265,0.0,OK,
workplace_revenue_check,2029,workplace_pricing_base/(1-margin)*availability,3076883808.901819,3076883808.9018188,-4.76837158203125e-07,OK,
contact_center_revenue_check,2029,contact_center_pricing_base/(1-margin)*availability,519912142.11226374,519912142.1122637,-5.960464477539063e-08,OK,
total_revenue_check,2029,workplace_ai_revenue+contact_center_ai_revenue,3596795951.0140824,3596795951.0140824,0.0,OK,
total_cogs_check,2029,total_datacenter_opex+total_team_opex+annual_gpu_rental_cost,1418309718.5670006,1418309718.5670006,0.0,OK,
gross_profit_check,2029,total_revenue-total_cogs,2178486232.4470816,2178486232.4470816,0.0,OK,
ebitda_check,2029,gross_profit-total_sga,2027231135.1670816,2027231135.1670816,0.0,OK,
ebit_check,2029,ebitda-total_depreciation_and_amortization,927783688.0242243,927783688.0242243,0.0,OK,
ebt_check,2029,ebit-interest_expense,549383435.3944657,549383435.3944657,0.0,OK,
profit_tax_check,2029,"max(ebt,0)*tax_rate",137345858.84861642,137345858.84861642,0.0,OK,
net_income_check,2029,ebt-profit_tax,412037576.54584926,412037576.54584926,0.0,OK,
operating_cash_flow_check,2029,net_income+total_depreciation_and_amortization,1511485023.6887066,1511485023.6887066,0.0,OK,
investing_cash_flow_check,2029,-gpu_infra-dc-office-intangible,-1561500000.0,-1561500000.0,0.0,OK,
pre_financing_cash_flow_check,2029,operating_cash_flow+investing_cash_flow,-50014976.31129336,-50014976.31129336,0.0,OK,
financing_cash_flow_check,2029,equity_injection+revolver_drawdown-revolver_repayment,50014976.31129336,50014976.31129336,0.0,OK,
net_cash_flow_check,2029,pre_financing_cash_flow+financing_cash_flow,0.0,0.0,0.0,OK,
funding_need_check,2029,"max(-closing_cash_before_funding,0)",50014976.31129336,50014976.31129336,0.0,OK,
minimum_cash_balance_check,2029,(total_team_opex+total_sga+annual_gpu_rental_cost)/12*months_of_fixed_costs,99907423.05600005,99907423.05600004,-1.4901161193847656e-08,OK,
revolver_balance_check,2029,opening_revolver_balance+drawdown-repayment,1526664623.734671,1526664623.734671,0.0,OK,
interest_expense_check,2029,average_revolver_balance*revolver_interest_rate,378400252.62975866,378400252.62975866,0.0,OK,
closing_cash_after_funding_check,2029,cash_after_drawdown-revolver_repayment,0.0,0.0,0.0,OK,
net_ppe_check,2029,gross_ppe-accumulated_depreciation,3424312091.428572,3424312091.428572,0.0,OK,
net_intangible_assets_check,2029,gross_intangible_assets-accumulated_amortization,61512750.0,61512750.0,0.0,OK,
total_assets_check,2029,cash+net_ppe+net_intangible_assets,3485824841.428572,3485824841.428572,0.0,OK,
total_equity_check,2029,paid_in_capital+retained_earnings,1959160217.6939015,1959160217.6939015,0.0,OK,
balance_check,2029,0,0.0,-4.76837158203125e-07,-4.76837158203125e-07,OK,
free_cash_flow_check,2029,operating_cash_flow+investing_cash_flow,-50014976.31129336,-50014976.31129336,0.0,OK,
discount_factor_check,2029,1/(1+discount_rate)^year_index,0.4551661356395084,0.4551661356395084,0.0,OK,
discounted_fcf_check,2029,free_cash_flow*discount_factor,-22765123.491712954,-22765123.491712954,0.0,OK,
active_users_check,2030,total_employees*activation_rate,24300.0,24300.0,0.0,OK,
workplace_annual_tokens_check,2030,active_users*tokens_per_active_user_per_day*working_days,1362476700000.0,1362476700000.0,0.0,OK,
automated_interactions_check,2030,interactions_per_day*automation_rate,22122.0,22122.0,0.0,OK,
contact_center_annual_tokens_check,2030,automated_interactions*tokens_per_interaction*calendar_days,205093062000.0,205093062000.0,0.0,OK,
total_annual_tokens_check,2030,workplace_annual_tokens+contact_center_annual_tokens,1567569762000.0,1567569762000.0,0.0,OK,
tokens_per_second_check,2030,total_annual_tokens/(working_days*working_hours*3600),146908.24730094467,146908.24730094467,0.0,OK,
required_gpu_check,2030,ceil(tokens_per_second/(weighted_throughput*utilization)*peak_factor),779,779,0.0,OK,
construction_flag_check,2030,1 if year==construction_start_year else 0,0,0,0,OK,
owned_gpu_check,2030,required_gpu if year>=construction_start_year else 0,779.0,779,0.0,OK,
rented_gpu_check,2030,required_gpu if year<construction_start_year else 0,0,0,0.0,OK,
owned_gpu_increment_check,2030,"owned first year else max(delta,0)",88.0,88,0.0,OK,
gpu_capex_check,2030,owned_gpu_increment*gpu_unit_cost,264000000.0,264000000.0,0.0,OK,
gpu_infra_capex_check,2030,gpu_capex*infra_multiplier,396000000.0,396000000.0,0.0,OK,
tangible_capex_check,2030,gpu_infra+dc+office,396000000.0,396000000.0,0.0,OK,
