table,metric,2026,2027,2028,2029,2030
Sensitivity Analysis — NPV,weighted_throughput_multiplier=0.80,-2292009407.6171837,-2192628070.132235,-2087352003.2211788,-1975774239.47353,-1859637041.4723794
Sensitivity Analysis — NPV,weighted_throughput_multiplier=0.85,-2018805433.6803308,-1926702362.1365829,-1829380468.1596136,-1725762262.6814315,-1617929144.4872541
Sensitivity Analysis — NPV,weighted_throughput_multiplier=0.90,-1954732709.6355188,-1864360426.509656,-1769152351.529713,-1667466581.226566,-1561649236.260702
Sensitivity Analysis — NPV,weighted_throughput_multiplier=0.95,-1898617886.1704159,-1809761345.104678,-1716381556.3159494,-1616383656.7238162,-1512327503.0413208
Sensitivity Analysis — NPV,weighted_throughput_multiplier=1.00,-1847424140.1404858,-1759979657.1562483,-1668319803.236537,-1569896425.8755138,-1467482755.5475636
Sensitivity Analysis — NPV,weighted_throughput_multiplier=1.05,-1802254989.392977,-1716066018.954628,-1625984798.7498524,-1528966026.5190787,-1428017696.0585914
Sensitivity Analysis — NPV,weighted_throughput_multiplier=1.10,-1759486488.8601754,-1674442441.6433907,-1585761083.2763116,-1490020806.4062352,-1390928009.373915
Sensitivity Analysis — NPV,weighted_throughput_multiplier=1.15,-1721315894.8459554,-1637309946.8923867,-1549897473.654999,-1455314597.8152812,-1358338589.3031669
Sensitivity Analysis — NPV,weighted_throughput_multiplier=1.20,-1686766466.7553558,-1603721097.201998,-1517425727.2779403,-1424519420.6462328,-1328786850.8171754
Sensitivity Analysis — NPV,weighted_throughput_multiplier=1.25,-1450546169.7763615,-1373721463.4391835,-1293903970.6164465,-1207363832.3303366,-1117144607.7685199
