scenario,required_gpu,month_seq,month_id,year,month,workplace_revenue,contact_center_revenue,total_revenue,cogs,sga,depreciation_and_amortization,ebit,profit_tax,net_income,operating_cash_flow,investing_cash_flow,pre_financing_cash_flow,opening_cash_before_funding,closing_cash_before_funding,net_ppe,net_intangible_assets,total_assets_pre_funding,total_liabilities_pre_funding,total_equity_pre_funding
rent_gpu_only,235.968842,18,2028-03,2028,3,71625671.59,23137797.21,94763468.8,71072601.6,8502000.0,0.0,15188867.2,3797216.8,11391650.4,11391650.4,-0.0,11391650.4,-228613975.2,-217222324.8,0.0,0.0,-217222324.8,0.0,-217222324.8
rent_gpu_only,235.968842,19,2028-04,2028,4,71625671.59,23137797.21,94763468.8,71072601.6,8502000.0,0.0,15188867.2,3797216.8,11391650.4,11391650.4,-0.0,11391650.4,-217222324.8,-205830674.4,0.0,0.0,-205830674.4,0.0,-205830674.4
rent_gpu_only,235.968842,20,2028-05,2028,5,71625671.59,23137797.21,94763468.8,71072601.6,8502000.0,0.0,15188867.2,3797216.8,11391650.4,11391650.4,-0.0,11391650.4,-205830674.4,-194439024.0,0.0,0.0,-194439024.0,0.0,-194439024.0
rent_gpu_only,235.968842,21,2028-06,2028,6,76041748.69,24564356.91,100606105.6,75454579.2,8502000.0,0.0,16649526.4,4162381.6,12487144.8,12487144.8,-0.0,12487144.8,-194439024.0,-181951879.2,0.0,0.0,-181951879.2,0.0,-181951879.2
rent_gpu_only,235.968842,22,2028-07,2028,7,76041748.69,24564356.91,100606105.6,75454579.2,8502000.0,0.0,16649526.4,4162381.6,12487144.8,12487144.8,-0.0,12487144.8,-181951879.2,-169464734.4,0.0,0.0,-169464734.4,0.0,-169464734.4
rent_gpu_only,235.968842,23,2028-08,2028,8,76041748.69,24564356.91,100606105.6,75454579.2,8502000.0,0.0,16649526.4,4162381.6,12487144.8,12487144.8,-0.0,12487144.8,-169464734.4,-156977589.6,0.0,0.0,-156977589.6,0.0,-156977589.6
rent_gpu_only,235.968842,24,2028-09,2028,9,76041748.69,24564356.91,100606105.6,75454579.2,8502000.0,0.0,16649526.4,4162381.6,12487144.8,12487144.8,-0.0,12487144.8,-156977589.6,-144490444.8,0.0,0.0,-144490444.8,0.0,-144490444.8
rent_gpu_only,235.968842,25,2028-10,2028,10,76041748.69,24564356.91,100606105.6,75454579.2,8502000.0,0.0,16649526.4,4162381.6,12487144.8,12487144.8,-0.0,12487144.8,-144490444.8,-132003300.0,0.0,0.0,-132003300.0,0.0,-132003300.0
rent_gpu_only,235.968842,26,2028-11,2028,11,76041748.69,24564356.91,100606105.6,75454579.2,8502000.0,0.0,16649526.4,4162381.6,12487144.8,12487144.8,-0.0,12487144.8,-132003300.0,-119516155.2,0.0,0.0,-119516155.2,0.0,-119516155.2
rent_gpu_only,235.968842,27,2028-12,2028,12,76041748.69,24564356.91,100606105.6,75454579.2,8502000.0,0.0,16649526.4,4162381.6,12487144.8,12487144.8,-0.0,12487144.8,-119516155.2,-107029010.4,0.0,0.0,-107029010.4,0.0,-107029010.4
rent_gpu_only,474.029941,28,2029-01,2029,1,99587908.76,16827727.72,116415636.49,81490945.54,8502000.0,0.0,26422690.95,6605672.74,19817018.21,19817018.21,-0.0,19817018.21,-107029010.4,-87211992.19,0.0,0.0,-87211992.19,0.0,-87211992.19
